discord_uuid,discord_name,riot_id,tracker,pr,team
932407456573845504,muddicksizgud,friskymango24#simga,https://tracker.gg/valorant/profile/riot/friskymango24%23simga/performance?playlist=competitive,4,NEW GENS 2.0
1056802512067375134,zratio,zяatio#1001,https://tracker.gg/valorant/profile/riot/z%D1%8Fatio%231001/performance?platform=pc&playlist=competitive,3,NEW GENS 2.0
1118104856683630674,hjkikimorx2,donny#dal,https://tracker.gg/valorant/profile/riot/donny%23dal/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,NEW GENS 2.0
538863075244376069,shadeisnthere,Shade#Six9,https://tracker.gg/valorant/profile/riot/Shade%23Six9/performance?platform=pc&playlist=competitive&season=aef237a0-494d-3a14-a1c8-ec8de84e309c,2,NEW GENS 2.0
917574540484304927,solarsour,gonggi#stone,https://tracker.gg/valorant/profile/riot/gonggi%23stone/overview?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,Nomads
712852020528152617,dangtan14,Facade#Beep,https://tracker.gg/valorant/profile/riot/Facade%23Beep/overview,1,Nomads
1133217129697648720,junkim7,KIMCHI67676#77777,https://tracker.gg/valorant/profile/riot/KIMCHI67676%2377777/performance?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d,4,Nomads
759581100883705888,zyph_is_dumb,NRG Baitr#zyph,https://tracker.gg/valorant/profile/riot/NRG%20Baitr%23zyph/overview?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,1,Nomads
381854546705645578,mittzyyy,Mittzyyyy#7863,https://tracker.gg/valorant/profile/riot/Mittzyyyy%237863/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,5,Nomads
628730112614858764,joemonkey.,Outplayed#Run,https://tracker.gg/valorant/profile/riot/Outplayed%23Run/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,Ayrox Esports
992233222186479662,cyteri,Cyteri#P1QNK,https://tracker.gg/valorant/profile/riot/Cyteri%23P1QNK/performance?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d,2,Ayrox Esports
735966610321309720,scyreth,Scyreth#URAQT,https://tracker.gg/valorant/profile/riot/Scyreth%23URAQT/performance?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d,2,Ayrox Esports
940297228675850310,willio__,Wileli#willo,https://tracker.gg/valorant/profile/riot/Wileli%23willo/performance?platform=pc&playlist=competitive&season=aef237a0-494d-3a14-a1c8-ec8de84e309c,2,Ayrox Esports
647998641956454440,zdyzze,Infinite ZDYZZE#SDS,https://tracker.gg/valorant/profile/riot/Infinite%20ZDYZZE%23SDS/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,Ayrox Esports
302221304956977153,real_grey,Grey#0430,https://tracker.gg/valorant/profile/riot/Grey%230430/performance?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d,2,Great Uncs
350855477158215681,fralve,Fralvey#KHNG,https://tracker.gg/valorant/profile/riot/Fralvey%23KHNG/performance?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d,5,
780143585348943883,goldfishfarts,jellycats#nwjns,https://tracker.gg/valorant/profile/riot/jellycats%23nwjns/overview?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d,2,shoelaces
1126229101548683396,gohawks413,gohawks#413,https://tracker.gg/valorant/profile/riot/gohawks%23413/overview?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d,0,Skill Forge
1079449234320932964,greenhumanbeing.,gweenest#being,https://tracker.gg/valorant/profile/riot/gweenest%23being/overview?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d,1,Skill Forge
757787562671734794,_mcren,Midnight#LFD,https://tracker.gg/valorant/profile/riot/Midnight%23LFD/overview?season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d&playlist=competitive&platform=pc,4,Skill Forge
1123272347303022592,v3zy.,vezyy#patos,https://tracker.gg/valorant/profile/riot/vezyy%23patos/overview?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d,3,Skill Forge
234480492056018945,boostedv3,boostedv3#4969,https://tracker.gg/valorant/profile/riot/boostedv3%234969/performance?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d,4,Skill Forge
747640774853918760,747640774853918760,Ander#letme,https://tracker.gg/valorant/profile/riot/Ander%23Letme/performance?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d,4,The Fearmongers
763894476351078400,rach4el,scoobertdoobert#remii,https://tracker.gg/valorant/profile/riot/scoobertdoobert%23remii/performance?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d,3,
864640362652237874,necromzo,Necromzo#KOREA,https://tracker.gg/valorant/profile/riot/Necromzo%23KOREA/performance?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d,4,Dry Swing Academy
972261573395624016,wet sand,WetSand#Groov,https://tracker.gg/valorant/profile/riot/WetSand%23Groov/overview?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d,3,Dry Swing Academy
